complaint_text,category,priority,location,date
Kaveri neeru bandilla.,Supply,Medium,Hebbal,2026-01-18
"Drainage block agide, vasane barthide Yelahanka.",Drainage,Low,Yelahanka,2026-02-22
HSR Layout ನಲ್ಲಿ ಕುಡಿಯುವ ನೀರು ಕಲುಷಿತಗೊಂಡಿದೆ.,Contamination,High,HSR Layout,2026-02-13
We are not getting water in Electronic City.,Supply,Medium,Electronic City,2026-01-13
"ಕೇವಲ ಹನಿಗಳು ಮಾತ್ರ ಬರುತ್ತಿವೆ, ದೊಡ್ಡ ಸೋರಿಕೆ ಇಲ್ಲ Whitefield.",Leakage,Low,Whitefield,2026-02-21
Please clear the blocked drainage near Indiranagar.,Drainage,Medium,Indiranagar,2026-01-24
ಕೊಳಚೆ ನೀರು ಕುಡಿಯುವ ನೀರಿನೊಂದಿಗೆ ಬೆರೆತಿದೆ.,Contamination,High,Indiranagar,2025-12-11
"main pipe break agide, neeru raste mele bartide Hebbal.",Leakage,Medium,Hebbal,2026-02-01
The public drain is choked and overflowing heavily.,Drainage,High,Whitefield,2026-01-02
ನೀರಿನ ಸಮಯ ಸರಿಯಾಗಿ ಪಾಲಿಸುತ್ತಿಲ್ಲ.,Supply,Medium,Indiranagar,2025-12-24
drinage blok in frnt of house.,Drainage,Medium,Jayanagar,2026-02-22
Water supply illa today inda.,Supply,High,Indiranagar,2026-02-12
ರಸ್ತೆಗೆ ಕೊಳಚೆ ನೀರು ಹರಿಯುತ್ತಿದೆ.,Drainage,High,Marathahalli,2026-03-05
"Gutter is blocked, very bad smell.",Drainage,Low,Electronic City,2026-01-21
ರಸ್ತೆಗೆ ಕೊಳಚೆ ನೀರು ಹರಿಯುತ್ತಿದೆ.,Drainage,High,Hebbal,2026-01-16
"ಕೇವಲ ಹನಿಗಳು ಮಾತ್ರ ಬರುತ್ತಿವೆ, ದೊಡ್ಡ ಸೋರಿಕೆ ಇಲ್ಲ KR Puram.",Leakage,Low,KR Puram,2026-02-28
Sewage water entering the road.,Drainage,Medium,Marathahalli,2026-01-01
"Gutter is blocked, very bad smell.",Drainage,Low,KR Puram,2026-03-03
Sewage water entering the road.,Drainage,Medium,KR Puram,2026-01-11
Water is not safe for drinking today.,Contamination,Medium,Whitefield,2026-01-10
last night ಇಂದ ನೀರು ಬಂದಿಲ್ಲ.,Supply,High,Rajajinagar,2025-12-16
full kachara tumbide drain nalli.,Drainage,Medium,Hebbal,2025-12-06
manhole open ide mattu overflow agthide.,Drainage,Medium,HSR Layout,2026-01-07
morning ಇಂದ ನೀರು ಬಂದಿಲ್ಲ.,Supply,High,Jayanagar,2026-01-03
Broken pipe causing flooding near Whitefield.,Leakage,Medium,Whitefield,2025-12-10
Water is muddy and unhygienic.,Contamination,Medium,Marathahalli,2026-01-25
sewage mix agide neeru jote.,Contamination,Medium,Whitefield,2026-02-07
Indiranagar ನಲ್ಲಿ ನೀರಿನ ಸರಬರಾಜು ಇಲ್ಲ.,Supply,Medium,Indiranagar,2025-12-26
Broken pipe causing flooding near Jayanagar.,Leakage,Medium,Jayanagar,2025-12-20
sewage neeru rastege bartide.,Drainage,High,Marathahalli,2026-02-19
drinage blok in frnt of house.,Drainage,Medium,Indiranagar,2026-01-02
"main pipe break agide, neeru raste mele bartide Marathahalli.",Leakage,Medium,Marathahalli,2026-02-14
ಪೈಪ್ ಒಡೆದು ನೀರು ರಸ್ತೆಯಲ್ಲಿ ಹರಿಯುತ್ತಿದೆ Rajajinagar.,Leakage,Medium,Rajajinagar,2025-12-17
"kudiyoke agalla, neeru halagide.",Contamination,Low,Hebbal,2026-01-08
water pipe odedide Marathahalli nalli.,Leakage,High,Marathahalli,2026-03-04
Foul odor coming from the supplied water.,Contamination,Medium,Electronic City,2026-03-03
ಕೊಳಚೆ ನೀರು ಕುಡಿಯುವ ನೀರಿನೊಂದಿಗೆ ಬೆರೆತಿದೆ.,Contamination,High,Electronic City,2026-02-16
drinage blok in frnt of house.,Drainage,Medium,Rajajinagar,2026-02-06
ಪೈಪ್ ಒಡೆದು ನೀರು ರಸ್ತೆಯಲ್ಲಿ ಹರಿಯುತ್ತಿದೆ Electronic City.,Leakage,High,Electronic City,2026-02-05
Yelahanka ಹತ್ತಿರ ಮುಖ್ಯ ಪೈಪ್‌ನಿಂದ ನೀರು ಸೋರುತ್ತಿದೆ.,Leakage,Medium,Yelahanka,2026-01-01
"Gutter is blocked, very bad smell.",Drainage,Low,Hebbal,2025-12-19
Pipe is cracked and leaking water at KR Puram.,Leakage,Medium,KR Puram,2026-02-23
ನೀರಿನ ಸಮಯ ಸರಿಯಾಗಿ ಪಾಲಿಸುತ್ತಿಲ್ಲ.,Supply,Medium,Hebbal,2026-02-15
Water is muddy and unhygienic.,Contamination,Medium,KR Puram,2026-01-11
Completely dry taps in Indiranagar since yesterday.,Supply,Medium,Indiranagar,2025-12-24
ಕಾವೇರಿ ನೀರು ಬರುತ್ತಿಲ್ಲ.,Supply,Medium,Jayanagar,2026-01-08
drinage blok in frnt of house.,Drainage,Medium,Jayanagar,2025-12-17
tumba neeru waste agthide Jayanagar nalli due to leak.,Leakage,Medium,Jayanagar,2026-01-21
sewage mix agide neeru jote.,Contamination,Medium,Jayanagar,2026-02-13
No water supply since yesterday.,Supply,High,Whitefield,2026-02-06
Yelahanka ಹತ್ತಿರ ಮುಖ್ಯ ಪೈಪ್‌ನಿಂದ ನೀರು ಸೋರುತ್ತಿದೆ.,Leakage,Medium,Yelahanka,2026-01-01
manhole open ide mattu overflow agthide.,Drainage,Medium,Electronic City,2026-01-08
sewage neeru rastege bartide.,Drainage,High,Yelahanka,2026-02-24
Water is muddy and unhygienic.,Contamination,Medium,Hebbal,2025-12-12
"Yelahanka ನಲ್ಲಿ ಪೈಪ್ ಒಡೆದಿದೆ, ನೀರು ಪೋಲಾಗುತ್ತಿದೆ.",Leakage,High,Yelahanka,2026-01-11
"ಟ್ಯಾಪ್ ಸೋರುತ್ತಿದೆ, ದಯವಿಟ್ಟು ಸರಿಪಡಿಸಿ.",Leakage,Medium,Indiranagar,2025-12-21
drinage blok in frnt of house.,Drainage,Medium,Yelahanka,2026-01-24
ನೀರಿನ ಸಮಯ ಸರಿಯಾಗಿ ಪಾಲಿಸುತ್ತಿಲ್ಲ.,Supply,Medium,Whitefield,2025-12-18
pype brst at Marathahalli.,Leakage,Medium,Marathahalli,2026-02-05
today ಇಂದ ನೀರು ಬಂದಿಲ್ಲ.,Supply,High,Yelahanka,2026-01-30
ಚರಂಡಿ ಕಟ್ಟಿಕೊಂಡು ಕೆಟ್ಟ ವಾಸನೆ ಬರುತ್ತಿದೆ.,Drainage,Low,Indiranagar,2026-02-25
no suply of watr since 3 days.,Supply,High,Hebbal,2026-01-23
"No leakage, just a few drops coming out in Hebbal.",Leakage,Low,Hebbal,2025-12-29
"Neeru galiju agide, kadi neeru barthide.",Contamination,Medium,Jayanagar,2026-01-06
full kachara tumbide drain nalli.,Drainage,Medium,Rajajinagar,2025-12-25
Water is leaking from the main pipe near Jayanagar.,Leakage,Medium,Jayanagar,2026-02-26
ಇಂದು ನೀರಿನ ಒತ್ತಡ ತುಂಬಾ ಕಡಿಮೆಯಾಗಿದೆ.,Supply,Medium,Electronic City,2026-02-23
Indiranagar ನಲ್ಲಿ ನಿರಂತರ ನೀರು ಸೋರಿಕೆ.,Leakage,Medium,Indiranagar,2026-01-16
"Minor leak, only drops coming out from the pipe at Whitefield.",Leakage,Low,Whitefield,2025-12-29
ಚರಂಡಿ ಕಟ್ಟಿಕೊಂಡು ಕೆಟ್ಟ ವಾಸನೆ ಬರುತ್ತಿದೆ.,Drainage,Low,Yelahanka,2026-01-25
neeru barthilla nam manege.,Supply,High,KR Puram,2026-02-12
Not enough water pressure to reach the overhead tank.,Supply,Low,Indiranagar,2026-02-23
Sewage water entering the road.,Drainage,Medium,Indiranagar,2025-12-19
manhole open ide mattu overflow agthide.,Drainage,Medium,Whitefield,2026-01-29
Pipe is cracked and leaking water at KR Puram.,Leakage,Medium,KR Puram,2026-03-02
ನೀರಿನ ಸಮಯ ಸರಿಯಾಗಿ ಪಾಲಿಸುತ್ತಿಲ್ಲ.,Supply,Medium,Rajajinagar,2026-01-25
manhole open ide mattu overflow agthide.,Drainage,Medium,Whitefield,2026-02-26
Manhole is open and overflowing.,Drainage,High,Rajajinagar,2026-01-18
Pipe is cracked and leaking water at Indiranagar.,Leakage,High,Indiranagar,2026-01-03
Foul odor coming from the supplied water.,Contamination,Medium,Yelahanka,2026-02-21
Foul odor coming from the supplied water.,Contamination,Medium,Electronic City,2026-02-07
"drnking watr is nt gud, it is plluted.",Contamination,Medium,HSR Layout,2026-02-12
"Gutter is blocked, very bad smell.",Drainage,Low,Whitefield,2026-02-09
ರಸ್ತೆಗೆ ಕೊಳಚೆ ನೀರು ಹರಿಯುತ್ತಿದೆ.,Drainage,High,Indiranagar,2026-01-29
leakage problem since 2 days in Whitefield.,Leakage,High,Whitefield,2026-01-18
"drnking watr is nt gud, it is plluted.",Contamination,Medium,Electronic City,2026-02-19
Kaveri neeru bandilla.,Supply,High,Rajajinagar,2026-02-16
ಕಾವೇರಿ ನೀರು ಬರುತ್ತಿಲ್ಲ.,Supply,Medium,Hebbal,2026-01-27
manhole open ide mattu overflow agthide.,Drainage,Medium,Yelahanka,2026-02-05
"ಕೇವಲ ಹನಿಗಳು ಮಾತ್ರ ಬರುತ್ತಿವೆ, ದೊಡ್ಡ ಸೋರಿಕೆ ಇಲ್ಲ HSR Layout.",Leakage,Low,HSR Layout,2026-01-11
neeru leak agthide Electronic City hatra.,Leakage,Medium,Electronic City,2026-03-03
Hebbal ನಲ್ಲಿ ನಿರಂತರ ನೀರು ಸೋರಿಕೆ.,Leakage,Medium,Hebbal,2026-02-24
Foul odor coming from the supplied water.,Contamination,Medium,Rajajinagar,2025-12-07
neeru sari yagi supply agthilla.,Supply,High,Yelahanka,2026-01-11
Water is leaking from the main pipe near Jayanagar.,Leakage,Medium,Jayanagar,2025-12-23
"ಕೇವಲ ಹನಿಗಳು ಮಾತ್ರ ಬರುತ್ತಿವೆ, ದೊಡ್ಡ ಸೋರಿಕೆ ಇಲ್ಲ Indiranagar.",Leakage,Low,Indiranagar,2025-12-11
We are not getting water in Hebbal.,Supply,Medium,Hebbal,2026-02-12
Not enough water pressure to reach the overhead tank.,Supply,Low,KR Puram,2026-03-02
"ಕಸದಿಂದ ಚರಂಡಿ ಕಟ್ಟಿಕೊಂಡಿದೆ, ದಯವಿಟ್ಟು ಸ್ವಚ್ಛಗೊಳಿಸಿ.",Drainage,Medium,Yelahanka,2026-02-09
"kudiyoke agalla, neeru halagide.",Contamination,High,KR Puram,2025-12-12
neeralli kachara barthide.,Contamination,Medium,Yelahanka,2026-01-28
ಕುಡಿಯಲು ನೀರು ಯೋಗ್ಯವಾಗಿಲ್ಲ.,Contamination,Medium,Yelahanka,2025-12-05
neeru sari yagi supply agthilla.,Supply,High,Jayanagar,2026-02-26
Water is leaking from the main pipe near KR Puram.,Leakage,Medium,KR Puram,2026-01-15
Sewage water entering the road.,Drainage,Medium,Jayanagar,2026-02-04
"swalpa leak agtide, just drops HSR Layout hatra.",Leakage,Low,HSR Layout,2025-12-28
watr suply is vry bad in KR Puram.,Supply,Medium,KR Puram,2026-01-03
Water is muddy and unhygienic.,Contamination,Medium,KR Puram,2026-01-24
Continuous water leakage in our area Rajajinagar.,Leakage,Medium,Rajajinagar,2026-02-23
Water is muddy and unhygienic.,Contamination,Medium,Whitefield,2025-12-11
sewage mix agide neeru jote.,Contamination,Medium,Yelahanka,2026-02-12
sewage neeru rastege bartide.,Drainage,High,Jayanagar,2026-01-04
Broken pipe causing flooding near Electronic City.,Leakage,Medium,Electronic City,2026-01-25
"ಕೇವಲ ಹನಿಗಳು ಮಾತ್ರ ಬರುತ್ತಿವೆ, ದೊಡ್ಡ ಸೋರಿಕೆ ಇಲ್ಲ Jayanagar.",Leakage,Low,Jayanagar,2025-12-29
Foul odor coming from the supplied water.,Contamination,Medium,Hebbal,2025-12-25
water colour is black.,Contamination,High,HSR Layout,2026-02-03
neeru barthilla nam manege.,Supply,High,Marathahalli,2026-02-22
Indiranagar ಹತ್ತಿರ ಮುಖ್ಯ ಪೈಪ್‌ನಿಂದ ನೀರು ಸೋರುತ್ತಿದೆ.,Leakage,Medium,Indiranagar,2026-02-08
ರಸ್ತೆಗೆ ಕೊಳಚೆ ನೀರು ಹರಿಯುತ್ತಿದೆ.,Drainage,High,Marathahalli,2025-12-16
ನೀರಿನಲ್ಲಿ ಕಸ ಮತ್ತು ಮಣ್ಣು ಬರುತ್ತಿದೆ.,Contamination,Medium,Whitefield,2026-02-28
tumba neeru waste agthide KR Puram nalli due to leak.,Leakage,Medium,KR Puram,2026-01-11
Kaveri neeru bandilla.,Supply,High,Yelahanka,2025-12-25
Continuous water leakage in our area KR Puram.,Leakage,Medium,KR Puram,2026-03-01
pype brst at Electronic City.,Leakage,Medium,Electronic City,2026-02-22
pype brst at Hebbal.,Leakage,Medium,Hebbal,2025-12-18
yaavaga neeru bartade? 1 week inda kawtidivi.,Supply,Medium,Jayanagar,2025-12-31
KR Puram ನಲ್ಲಿ ಕುಡಿಯುವ ನೀರು ಕಲುಷಿತಗೊಂಡಿದೆ.,Contamination,High,KR Puram,2025-12-15
The public drain is choked and overflowing heavily.,Drainage,High,Yelahanka,2025-12-25
ಇಂದು ನೀರಿನ ಒತ್ತಡ ತುಂಬಾ ಕಡಿಮೆಯಾಗಿದೆ.,Supply,Medium,HSR Layout,2026-02-27
ನೀರು ಕೆಟ್ಟ ವಾಸನೆ ಬರುತ್ತಿದೆ ಮತ್ತು ಹಳದಿಯಾಗಿದೆ.,Contamination,Low,Marathahalli,2026-01-05
"ಕಸದಿಂದ ಚರಂಡಿ ಕಟ್ಟಿಕೊಂಡಿದೆ, ದಯವಿಟ್ಟು ಸ್ವಚ್ಛಗೊಳಿಸಿ.",Drainage,Medium,HSR Layout,2026-02-05
ನೀರಿನ ಸಮಯ ಸರಿಯಾಗಿ ಪಾಲಿಸುತ್ತಿಲ್ಲ.,Supply,Medium,Electronic City,2026-02-17
Drinking water is contaminated in KR Puram.,Contamination,Medium,KR Puram,2025-12-25
Whitefield ನಲ್ಲಿ ನೀರಿನ ಸರಬರಾಜು ಇಲ್ಲ.,Supply,Medium,Whitefield,2025-12-21
ನೀರಿನ ಸಮಯ ಸರಿಯಾಗಿ ಪಾಲಿಸುತ್ತಿಲ್ಲ.,Supply,Medium,Marathahalli,2026-02-27
watr suply is vry bad in KR Puram.,Supply,Medium,KR Puram,2025-12-24
When will water come today? No supply.,Supply,Medium,Hebbal,2026-02-18
full kachara tumbide drain nalli.,Drainage,Medium,Electronic City,2026-02-10
Mosquitoes increasing because of drainage leak.,Drainage,Medium,Hebbal,2026-01-13
"No leakage, just a few drops coming out in Indiranagar.",Leakage,Low,Indiranagar,2026-02-17
Water is not safe for drinking today.,Contamination,Medium,Hebbal,2026-03-04
The water is brown and has particles in it.,Contamination,Medium,Yelahanka,2026-01-01
pype brst at Indiranagar.,Leakage,Medium,Indiranagar,2025-12-16
getting dirty water for drinking.,Contamination,Medium,Electronic City,2025-12-27
neeru sari yagi supply agthilla.,Supply,High,Marathahalli,2026-02-28
watr suply is vry bad in Whitefield.,Supply,Medium,Whitefield,2025-12-18
Sewage mixed with drinking water.,Contamination,High,Marathahalli,2025-12-07
Water dripping from the street valve near Whitefield.,Leakage,Medium,Whitefield,2026-02-06
"main pipe break agide, neeru raste mele bartide Whitefield.",Leakage,Medium,Whitefield,2026-01-09
We have been waiting for water since morning.,Supply,Medium,Electronic City,2026-01-26
ಕುಡಿಯಲು ನೀರು ಯೋಗ್ಯವಾಗಿಲ್ಲ.,Contamination,Medium,Hebbal,2026-01-22
leakage problem since 2 days in Hebbal.,Leakage,High,Hebbal,2025-12-29
Huge water leak at Electronic City.,Leakage,Medium,Electronic City,2026-02-16
Sewage water entering the road.,Drainage,Medium,Electronic City,2026-02-02
"Pipe burst in Whitefield, water is everywhere.",Leakage,High,Whitefield,2026-01-02
Low water pressure today.,Supply,Low,Marathahalli,2025-12-31
bad smll wter cming frm tap.,Contamination,Low,HSR Layout,2025-12-29
"Drainage block agide, vasane barthide Indiranagar.",Drainage,Low,Indiranagar,2025-12-16
ನೀರಿನ ಸಮಯ ಸರಿಯಾಗಿ ಪಾಲಿಸುತ್ತಿಲ್ಲ.,Supply,Medium,Jayanagar,2026-01-26
Drinking water is contaminated in Rajajinagar.,Contamination,Medium,Rajajinagar,2026-01-28
neeralli kachara barthide.,Contamination,Medium,HSR Layout,2025-12-14
No water supply since last night.,Supply,High,HSR Layout,2026-02-21
ಕಾವೇರಿ ನೀರು ಬರುತ್ತಿಲ್ಲ.,Supply,Low,KR Puram,2025-12-21
"sೊಳ್ಳೆ ಕಾಟ ಹೆಚ್ಚಾಗಿದೆ, drainage clean madi.",Drainage,Medium,Marathahalli,2026-01-14
"KR Puram ನಲ್ಲಿ ಪೈಪ್ ಒಡೆದಿದೆ, ನೀರು ಪೋಲಾಗುತ್ತಿದೆ.",Leakage,High,KR Puram,2025-12-29
Water is muddy and unhygienic.,Contamination,Medium,KR Puram,2026-02-18
Water dripping from the street valve near Jayanagar.,Leakage,Medium,Jayanagar,2026-02-15
water stagnation due to blocked drainage.,Drainage,Medium,Indiranagar,2025-12-27
"ಕಸದಿಂದ ಚರಂಡಿ ಕಟ್ಟಿಕೊಂಡಿದೆ, ದಯವಿಟ್ಟು ಸ್ವಚ್ಛಗೊಳಿಸಿ.",Drainage,Medium,Jayanagar,2025-12-21
drinage blok in frnt of house.,Drainage,Medium,Indiranagar,2025-12-22
Water supply illa 1 week inda.,Supply,High,Whitefield,2026-03-04
ನೀರಿನಲ್ಲಿ ಕಸ ಮತ್ತು ಮಣ್ಣು ಬರುತ್ತಿದೆ.,Contamination,Medium,HSR Layout,2025-12-07
watr suply is vry bad in Whitefield.,Supply,Medium,Whitefield,2026-01-20
watr suply is vry bad in Yelahanka.,Supply,Medium,Yelahanka,2025-12-07
yaavaga neeru bartade? 1 week inda kawtidivi.,Supply,Medium,Yelahanka,2025-12-31
neeru barthilla nam manege.,Supply,High,Hebbal,2026-02-21
neeru full black agide Indiranagar nalli.,Contamination,High,Indiranagar,2026-02-11
ಪೈಪ್ ಒಡೆದು ನೀರು ರಸ್ತೆಯಲ್ಲಿ ಹರಿಯುತ್ತಿದೆ Rajajinagar.,Leakage,Medium,Rajajinagar,2026-02-01
"Minor leak, only drops coming out from the pipe at Rajajinagar.",Leakage,Low,Rajajinagar,2026-02-01
We are not getting water in Hebbal.,Supply,Medium,Hebbal,2026-01-17
sewage neeru rastege bartide.,Drainage,High,HSR Layout,2026-01-18
neeru leak agthide Marathahalli hatra.,Leakage,Medium,Marathahalli,2026-02-21
sewage neeru rastege bartide.,Drainage,High,Indiranagar,2026-01-11
water colour is black.,Contamination,High,Electronic City,2026-03-02
leakage problem since 2 days in HSR Layout.,Leakage,High,HSR Layout,2026-01-16
Water supply is very erratic in our area.,Supply,Medium,Rajajinagar,2026-03-03
Pipe is cracked and leaking water at Whitefield.,Leakage,Medium,Whitefield,2026-02-27
water pipe odedide Electronic City nalli.,Leakage,High,Electronic City,2026-01-21
Yelahanka ನಲ್ಲಿ ಒಳಚರಂಡಿ ಕಟ್ಟಿಕೊಂಡಿದೆ ಮತ್ತು ಉಕ್ಕಿ ಹರಿಯುತ್ತಿದೆ.,Drainage,High,Yelahanka,2026-01-11
charandi block agide Electronic City nalli.,Drainage,Medium,Electronic City,2025-12-12
neeru full black agide Yelahanka nalli.,Contamination,High,Yelahanka,2026-03-01
Kaveri neeru bandilla.,Supply,High,Hebbal,2026-02-23
charandi block agide HSR Layout nalli.,Drainage,Medium,HSR Layout,2025-12-27
Sewage mixed with drinking water.,Contamination,High,Yelahanka,2026-01-04
We are not getting water in Rajajinagar.,Supply,Medium,Rajajinagar,2026-02-10
Sewage mixed with drinking water.,Contamination,Medium,Hebbal,2026-01-29
sewage neeru rastege bartide.,Drainage,High,Marathahalli,2026-01-23
ಮ್ಯಾನ್‌ಹೋಲ್ ತೆರೆದಿದೆ ಮತ್ತು ಕೊಳಚೆ ನೀರು ಹೊರಬರುತ್ತಿದೆ.,Drainage,High,Electronic City,2026-01-18
Taps are leaking continuously.,Leakage,Medium,Rajajinagar,2026-01-31
vasane bartide neerinda Jayanagar.,Contamination,Low,Jayanagar,2026-02-02
Water is leaking from the main pipe near Indiranagar.,Leakage,Medium,Indiranagar,2025-12-13
"ಕಸದಿಂದ ಚರಂಡಿ ಕಟ್ಟಿಕೊಂಡಿದೆ, ದಯವಿಟ್ಟು ಸ್ವಚ್ಛಗೊಳಿಸಿ.",Drainage,Medium,Whitefield,2025-12-20
KR Puram ನಲ್ಲಿ ನೀರಿನ ಸರಬರಾಜು ಇಲ್ಲ.,Supply,Medium,KR Puram,2026-02-10
"Neeru galiju agide, kadi neeru barthide.",Contamination,Medium,Rajajinagar,2026-01-19
"Gutter is blocked, very bad smell.",Drainage,Low,Marathahalli,2026-01-05
Electronic City ನಲ್ಲಿ ನಿರಂತರ ನೀರು ಸೋರಿಕೆ.,Leakage,Medium,Electronic City,2026-02-25
"Minor leak, only drops coming out from the pipe at Jayanagar.",Leakage,Low,Jayanagar,2026-01-21
Drinking water is contaminated in Yelahanka.,Contamination,Medium,Yelahanka,2025-12-16
ಪೈಪ್ ಒಡೆದು ನೀರು ರಸ್ತೆಯಲ್ಲಿ ಹರಿಯುತ್ತಿದೆ Marathahalli.,Leakage,Medium,Marathahalli,2026-01-13
ಮ್ಯಾನ್‌ಹೋಲ್ ತೆರೆದಿದೆ ಮತ್ತು ಕೊಳಚೆ ನೀರು ಹೊರಬರುತ್ತಿದೆ.,Drainage,High,Jayanagar,2026-02-16
tumba neeru waste agthide Yelahanka nalli due to leak.,Leakage,Medium,Yelahanka,2026-01-11
drain is flul of grabage.,Drainage,Medium,Marathahalli,2025-12-11
Water smells bad and is yellowish.,Contamination,High,HSR Layout,2026-02-27
ಕುಡಿಯಲು ನೀರು ಯೋಗ್ಯವಾಗಿಲ್ಲ.,Contamination,Medium,Rajajinagar,2025-12-31
Manhole is open and overflowing.,Drainage,High,Indiranagar,2026-02-14
Rajajinagar ನಲ್ಲಿ ನಿರಂತರ ನೀರು ಸೋರಿಕೆ.,Leakage,Medium,Rajajinagar,2025-12-06
neeru full black agide KR Puram nalli.,Contamination,High,KR Puram,2025-12-07
charandi block agide Indiranagar nalli.,Drainage,Medium,Indiranagar,2026-02-23
Drainage is blocked and overflowing in Rajajinagar.,Drainage,High,Rajajinagar,2026-02-15
"No leakage, just a few drops coming out in HSR Layout.",Leakage,Low,HSR Layout,2025-12-28
charandi block agide Marathahalli nalli.,Drainage,Medium,Marathahalli,2026-02-16
ನೀರು ಕೆಟ್ಟ ವಾಸನೆ ಬರುತ್ತಿದೆ ಮತ್ತು ಹಳದಿಯಾಗಿದೆ.,Contamination,Low,Hebbal,2025-12-06
"kudiyoke agalla, neeru halagide.",Contamination,High,Rajajinagar,2026-02-25
water pipe odedide KR Puram nalli.,Leakage,High,KR Puram,2026-02-07
ಕುಡಿಯಲು ನೀರು ಯೋಗ್ಯವಾಗಿಲ್ಲ.,Contamination,Medium,HSR Layout,2026-02-06
Whitefield ನಲ್ಲಿ ನೀರಿನ ಸರಬರಾಜು ಇಲ್ಲ.,Supply,High,Whitefield,2025-12-24
water pipe odedide Electronic City nalli.,Leakage,High,Electronic City,2026-02-12
ಚರಂಡಿ ಕಟ್ಟಿಕೊಂಡು ಕೆಟ್ಟ ವಾಸನೆ ಬರುತ್ತಿದೆ.,Drainage,Low,Indiranagar,2026-01-22
"Gutter is blocked, very bad smell.",Drainage,Low,Jayanagar,2026-02-25
ಕೊಳಚೆ ನೀರು ಕುಡಿಯುವ ನೀರಿನೊಂದಿಗೆ ಬೆರೆತಿದೆ.,Contamination,High,Hebbal,2025-12-31
Indiranagar ನಲ್ಲಿ ಒಳಚರಂಡಿ ಕಟ್ಟಿಕೊಂಡಿದೆ ಮತ್ತು ಉಕ್ಕಿ ಹರಿಯುತ್ತಿದೆ.,Drainage,High,Indiranagar,2026-02-04
watr suply is vry bad in Rajajinagar.,Supply,Medium,Rajajinagar,2026-01-04
Drinking water is contaminated in HSR Layout.,Contamination,Medium,HSR Layout,2025-12-24
drinage blok in frnt of house.,Drainage,High,Whitefield,2025-12-21
Drainage is blocked and overflowing in KR Puram.,Drainage,High,KR Puram,2026-02-01
No supply at all in Jayanagar.,Supply,Medium,Jayanagar,2026-02-11
ರಸ್ತೆಗೆ ಕೊಳಚೆ ನೀರು ಹರಿಯುತ್ತಿದೆ.,Drainage,High,Rajajinagar,2025-12-18
tumba neeru waste agthide Yelahanka nalli due to leak.,Leakage,Medium,Yelahanka,2026-02-10
"drnking watr is nt gud, it is plluted.",Contamination,Medium,Rajajinagar,2025-12-18
2 days ಇಂದ ನೀರು ಬಂದಿಲ್ಲ.,Supply,High,Hebbal,2026-01-11
leakage problem since 2 days in HSR Layout.,Leakage,High,HSR Layout,2026-01-02
"kudiyoke agalla, neeru halagide.",Contamination,High,Marathahalli,2026-01-17
getting dirty water for drinking.,Contamination,Medium,KR Puram,2026-01-24
"Drainage block agide, vasane barthide Jayanagar.",Drainage,Low,Jayanagar,2026-02-28
"kudiyoke agalla, neeru halagide.",Contamination,High,KR Puram,2026-01-28
"Gutter is blocked, very bad smell.",Drainage,Low,Marathahalli,2025-12-23
full kachara tumbide drain nalli.,Drainage,Medium,HSR Layout,2026-01-14
Drinking water is contaminated in HSR Layout.,Contamination,Medium,HSR Layout,2025-12-26
ಪೈಪ್ ಒಡೆದು ನೀರು ರಸ್ತೆಯಲ್ಲಿ ಹರಿಯುತ್ತಿದೆ Hebbal.,Leakage,Medium,Hebbal,2025-12-05
water colour is black.,Contamination,High,Rajajinagar,2025-12-13
water colour is black.,Contamination,High,Whitefield,2025-12-13
Water dripping from the street valve near Rajajinagar.,Leakage,Medium,Rajajinagar,2026-02-11
Water is not safe for drinking today.,Contamination,Medium,Electronic City,2026-02-22
Low water pressure today.,Supply,Low,Hebbal,2025-12-15
pressure tumba low ide Indiranagar nalli.,Supply,Low,Indiranagar,2025-12-05
The water is brown and has particles in it.,Contamination,Medium,HSR Layout,2026-02-25
Drinking water is contaminated in Indiranagar.,Contamination,Medium,Indiranagar,2026-01-06
"Rajajinagar ನಲ್ಲಿ ಪೈಪ್ ಒಡೆದಿದೆ, ನೀರು ಪೋಲಾಗುತ್ತಿದೆ.",Leakage,High,Rajajinagar,2026-01-29
"ಕೇವಲ ಹನಿಗಳು ಮಾತ್ರ ಬರುತ್ತಿವೆ, ದೊಡ್ಡ ಸೋರಿಕೆ ಇಲ್ಲ Indiranagar.",Leakage,Low,Indiranagar,2025-12-20
Water smells bad and is yellowish.,Contamination,High,Indiranagar,2026-02-13
Kaveri neeru bandilla.,Supply,High,Whitefield,2025-12-22
"Water timing is not followed, please fix.",Supply,Low,KR Puram,2026-01-06
Drinking water is contaminated in Jayanagar.,Contamination,Medium,Jayanagar,2026-02-20
drinage blok in frnt of house.,Drainage,Medium,HSR Layout,2025-12-20
sewage mix agide neeru jote.,Contamination,Medium,Jayanagar,2026-02-14
"No leakage, just a few drops coming out in Whitefield.",Leakage,Low,Whitefield,2026-01-16
ಕಾವೇರಿ ನೀರು ಬರುತ್ತಿಲ್ಲ.,Supply,Medium,Yelahanka,2026-02-08
"Gutter is blocked, very bad smell.",Drainage,Low,Marathahalli,2026-02-04
"Neeru galiju agide, kadi neeru barthide.",Contamination,Medium,HSR Layout,2026-02-08
Please clear the blocked drainage near Jayanagar.,Drainage,Medium,Jayanagar,2026-01-27
